,nombre,categoría,descripción,sección,url
45,HOS7,Hospitales,CAMILLA DE CURAS HIERRO BLANCO,Camillas  Hospital  Medicina  ,admin/img_prod/HOS7/HOS7-1-720x540.png
46,VAA7,Atrezzo vario,Candados antiguos hierro,,admin/img_prod/VAA7/VAA7-720x540.png
47,GRA7,Gramófonos y gramolas,Gramófono nogal pequeño con bocina,Musica  ,admin/img_prod/GRA7/GRA7-720x540.png
0,ARA7,Atrezzo Árabe,Sillón árabe nogal tallado,Arabe  ,admin/img_prod/ARA7/ARA7-1-720x540.png
1,SI7,Sillón,Sillón Luis XVI dorado rejilla medio punto con cojines,Frances  Salón  Sillería  ,admin/img_prod/SI7/SI7-1-720x540.png
2,RAD7,Radios,Radio antigua caja madera frontal plástico crema 3 mandos,,admin/img_prod/RAD7/RAD7-720x540.png
3,JAM7,Jamuga,,Descatalogado  ,admin/img_prod/JAM7/LOGOTIPO VAZQUEZ- 720x540.png
4,MV7,Muebles varios,Mueble bar italiano claro con puerta de espejo,Italiano  Mueble bar  ,admin/img_prod/MV7/MV7-1-720x540.png
5,JAU7,Jaula,Jaula grande de plástico,,admin/img_prod/JAU7/JAU7-720x540.png
6,JUE7,Juego,Máquina tragaperras PYRAMID,Bar y cafetería  Casino  ,admin/img_prod/JUE7/JUE7-1-720X540.png
7,SIL7,Silla,Silla Luis XV dorada rejilla con cojín,Frances  Sillería  ,admin/img_prod/SIL7/SIL7-1-720x540.png
8,LM7,Litera de mano,Palanquín egipcio,Egipcio  ,admin/img_prod/LM7/LM7-720x540.png
9,MEC7,Mecedora,Mecedora curvada tapizada de niño,Curvado  Infantil  ,admin/img_prod/MEC7/MEC7-1-720x540.png
10,MOS7,Mostrador,Mostrador de tienda con vitrina,Tienda  ,admin/img_prod/MOS7/MOS7-1-720x540.png
11,S7,Sofá,Sofá Luis XVI rejilla dorada con cojines,Frances  Salón  Sillería  ,admin/img_prod/S7/S7-1-720x540.png
12,ILU7,Iluminación,Caja porta pantallas de iluminación,Cine  ,admin/img_prod/ILU7/ILU7-720X540.png
13,PV7,Pie de vela,Hachero de suelo 3 luces en aro,Hachero  Iglesia  Medieval  ,admin/img_prod/PV7/PV7-720x540.png
14,SEC7,Secreter,Secreter jacobino caoba tallado,Jacobino  Salón  ,admin/img_prod/SEC7/SEC7-2-720x540.png
15,VI7,Vitrina,Vitrina nogal con cajón y 2 puertas,Comedor  Salón  ,admin/img_prod/VI7/VI7-1-720x540.png
16,PEL7,Peluquería,Máquina de rulos de madera antigua,,admin/img_prod/PEL7/PEL7-1-720x540.png
17,SR7,Silla de ruedas,Silla de ruedas tapizada skay negro asiento fijo,Hospital  ,admin/img_prod/SR7/SR7-720x540.png
18,PC7,Pizarra,Pizarra de colegio marco aluminio,,admin/img_prod/PC7/PC7-720x540.png
19,BUZ7,Buzones,Buzón de correos hierro amarillo,Calle  ,admin/img_prod/BUZ7/BUZ7-720x540.png
20,CAM7,Cámara fotos y vídeo,Proyector de 8mm AGFA,Proyectores de super ocho  ,admin/img_prod/CAM7/CAM7-720x540.png
21,JUZ7,Juzgado,Barandilla de juzgado balaustres nogal de 3´60 metros,Juzgados  ,admin/img_prod/JUZ7/JUZ7-720x540.png
22,QIN7,Quinqués,Quinqué cristal con pantalla espejo,,admin/img_prod/QIN7/QIN7-720x540.png
23,REV7,Revistero,Revistero de mimbre,Mimbre  Salón  ,admin/img_prod/REV7/REV7-1-720x540.png
24,MOU7,Mobiliario urbano,Papelera de calle de rejilla con pie,Calle  ,admin/img_prod/MOU7/MOU7-1-720x540.png
25,LOG7,Logicine,Jarrón grande panzudo dorado,Jarrón  ,admin/img_prod/LOG7/JAR160 (HAY 2)_logicine-720x540.png
26,CDM7,Centro de mesa,Centro de mesa de chapa y madera,Adorno  ,admin/img_prod/CDM7/CDM7-720x540.png
27,PAP7,Papelera,Papelera de plástico alta,,admin/img_prod/PAP7/PAP7-720x540.png
28,FIG7,Figuras,Figura de cartón oso,Adorno  ,admin/img_prod/FIG7/FIG7-720x540.png
29,PLA7,Playa,Hamaca de madera reclinable con tela rayas y toldo,Hamaca  Jardín  ,admin/img_prod/PLA7/PLA7-720x540.png
30,REG7,Religión,,Descatalogado  ,admin/img_prod/REG7/LOGOTIPO VAZQUEZ- 720x540.png
31,RU7,Rural,Polipasto hierro de 2 poleas de 20cm,Rústico  ,admin/img_prod/RU7/RU7-720x540.png
32,GUA7,Guarnición,Guarnición imperio mármol negro y rojo,Imperio  ,admin/img_prod/GUA7/GUA7-720x540.png
33,ALA8,Alacena,Alacena nogal con puertas y cajones,Cocina  ,admin/img_prod/ALA8/ALA8-1-720x540.png
34,ALF8,Alfombra,Alfombra persa roja,Arabe  Comedor  Salón  ,admin/img_prod/ALF8/ALF8-720x540.png
35,AFC8,Alfombra de cama,Alfombrín de cama crema,Dormitorio  ,admin/img_prod/AFC8/AFC8-720x540.png
36,AP8,Aparador,Trinchero 1900 caoba con copete,Comedor  Estilo mil novecientos  ,admin/img_prod/AP8/AP8-1-720x540.png
37,AST8,Atrezzo astronomia,Telescopio naranja trípode madera,Astronomía  ,admin/img_prod/AST8/AST8-720x540.png
38,ARC8,Arcon,Arcón cuarterones lisos nogal,Dormitorio  Español  ,admin/img_prod/ARC8/ARC8-1-720x540.png
39,AR8,Armario,"Armario mallorquín 3 puertas, la central con espejo.",Dormitorio  Mallorquín  ,admin/img_prod/AR8/AR8-720x540.png
40,ARM8,Armero,Porta lanzas de madera para 7 lanzas,Medieval  ,admin/img_prod/ARM8/ARM8-1-720x540.png
41,ATD8,Ataud,Ataúd auténtico nogal sin crucifijo (interior 55x185x30),,admin/img_prod/ATD8/ATD008 (CERRADO).jpg
42,ATR8,Atril,Atril madera de suelo con pie torneado,,admin/img_prod/ATR8/ATR8-1-720x540.png
43,BAC8,Banco,Banco sin respaldo tapizado terciopelo patas rectas,,admin/img_prod/BAC8/BAC8-1-720x540.png
44,BAN8,Banqueta,Banqueta góndola Luis XVI gris y oro,Frances  Góndola  ,admin/img_prod/BAN8/BAN8-1-720x540.png
45,M8,Mesa,Mesa de mimbre blanco tapa cristal humo (a juego 4 sillas SIL-373 y 2 sillones SI-381),Jardín  Mimbre  ,admin/img_prod/M8/M8-1-720x540.png
46,BA8,Baño,Ducha hidromasaje,Bañera  ,admin/img_prod/BA8/BA8-720x540.png
47,BAR8,Bargueño,Pie de bargueño cubista,Cubista  ,admin/img_prod/BAR8/BAR8-720x540.png
0,BRL8,Barril,Bidón de plástico colores,Bidón  ,admin/img_prod/BRL8/BRL8-1-720x540.png
1,BAS8,Bascula,Báscula de farmacia para bebés,Farmacia  Hospital  ,admin/img_prod/BAS8/BAS8-720x540.png
2,BAU8,Baul,Baúl madera marrón con cinchas cuero,Almacenaje  Viaje  ,admin/img_prod/BAU8/BAU8-1-720x540.png
3,BEB8,Bebé,Cochecito de bebé inglés cuco con capota azul,Cochecito  ,admin/img_prod/BEB8/BEB8-1-720x540.png
4,PER8,Perchero,Perchero de pared cubista nogal,Cubista  Recibidor  ,admin/img_prod/PER8/PER8-1-720x540.png
5,ESC8,Escaleras,Escalera de 1 subida de madera,Almacenaje  ,admin/img_prod/ESC8/ESC8-720x540.png
6,BIO8,Biombo,Biombo modernista 3 hojas rojo y damasco oro (espejos detrás),Dormitorio  ,admin/img_prod/BIO8/BIO8-720x540.png
7,BRA8,Brasero,Brasero bajo redondo de pletina,Calefaccion  ,admin/img_prod/BRA8/BRA8-1-720x540.png
8,CAB8,Caballete,Caballete de estudio madera clara con ruedas,Pintor  ,admin/img_prod/CAB8/CAB8-1-720x540.png
9,CAR8,Caja registradora,Caja registradora con cajón GOLD,Tienda  ,admin/img_prod/CAR8/CAR8-1-720x540.png
10,CAJ8,Caja,Caja de embalaje de madera.,Almacenaje  Cajas  ,admin/img_prod/CAJ8/CAJ8-720x540.png
11,CA8,Cama,Descatalogado,Descatalogado  ,admin/img_prod/CA8/LOGOTIPO VAZQUEZ- 720x540.png
12,REC8,Reclinatorio,Reclinatorio madera torneado,Iglesia  Religioso  ,admin/img_prod/REC8/REC8-1-720x540.png
13,CARR8,Carretilla,Carretilla de madera con cajón  y rueda de hierro,Rústico  ,admin/img_prod/CARR8/CARR8-1-720x540.png
14,CSE8,Carro de servicio,Carro de servicio metal y formica con asas.,Cocina  Comedor  Salón  ,admin/img_prod/CSE8/CSE8-1-720x540.png
15,CH8,Chaiselongue,Chaiselonge mimbre pintada blanco respaldo bajo,Jardín  Mimbre  ,admin/img_prod/CH8/CH8-1-720x540.png
16,CO8,Cocinas,Cocina eléctrica de mesa 2 fuegos con horno,Cocina  Electrodomestico  ,admin/img_prod/CO8/CO8-720x540.png
17,CF8,Caja fuerte,Caja fuerte azul (abierta),,admin/img_prod/CF8/CF8-1-720x540.png
18,COM8,Comoda,Cómoda nogal 5 cajones tapa mármol rosa,Dormitorio  ,admin/img_prod/COM8/COM8-1-720x540.png
19,CON8,Consola,Consola imperio metal con tapa mármol,Imperio  Recibidor  ,admin/img_prod/CON8/CON8-1-720x540.png
20,COS8,,Costurero caoba con espejo interior,Costurero  ,admin/img_prod/COS8/COS08.bmp
21,CU8,Cuadro,Cuadro marco ancho fotografía Venus (Autor Tiziano),Caceria  Desnudo  ,admin/img_prod/CU8/CU8-720x540.png
22,ANU8,Carteles y anuncios,Cartel antiguo chapa anuncio americano,Tienda  ,admin/img_prod/ANU8/ANU8-720x540.png
23,ESP8,Espejo,Espejo marco dorado tallado 4 espejos,Recibidor  Salón  ,admin/img_prod/ESP8/ESP8-720x540.png
24,ES8,Estanteria,Estanteria plastificada pino,Despacho  ,admin/img_prod/ES8/ES8-720x540.png
25,EST8,Estufa,Estufa chubesqui hierro 3 patas,Calefaccion  ,admin/img_prod/EST8/EST8-720x540.png
26,ESTAT8,Estatua,Estatua Dama de Elche en piedra,,admin/img_prod/ESTAT8/ESTAT8-1-720x540.png
27,GN8,Galan de noche,Galán de noche pie tubo cuadrado,Dormitorio  ,admin/img_prod/GN8/GN8-1-720x540.png
28,AGU8,Aguamaniles,Aguamanil loza blanca liso,Dormitorio  ,admin/img_prod/AGU8/AGU8-720x450.png
29,F8,Fichero,Fichero madera alto de persiana,Americano  Despacho  ,admin/img_prod/F8/F8-1-720x540.png
30,MUS8,Instrumentos musicales,Piano de pared auténtico madera raiz,Piano  Musica  ,admin/img_prod/MUS8/MUS8-1-720x540.png
31,ADO8,Adornos,Adorno pared tabla con coche metal,Salón  ,admin/img_prod/ADO8/ADO8-720x540.png
32,DPT8,Deporte,Espaldera sencilla de gimnasio,Gimnasio  ,admin/img_prod/DPT8/GIM9-750540.png
33,LAM8,Lámpara,Lámpara de mesa de bronce esfinge,Lámpara de mesa  Salón  ,admin/img_prod/LAM8/LAM8-720x540.png
34,FUM8,Artículos de fumador,Cenicero cristal grueso,Cenicero  ,admin/img_prod/FUM8/FUM8-720x540.png
35,ASP8,Aspiradoras,Aspiradora antigua roja con ruedas,Electrodomestico  ,admin/img_prod/ASP8/ASP8-720x540.png
36,AZP8,Azulejos y platos de pared,Platos de Talavera de pared diferentes,Decoración  Talavera  ,admin/img_prod/AZP8/AZP8-720x540.png
37,BAD8,Bandejas,Bandeja antigua chapa decorada,,admin/img_prod/BAD8/BAD8-720x540.png
38,BYC8,Atrezzo de bar y cafetería,Botellas cristal transparente de coctel,Bar y cafetería  ,admin/img_prod/BYC8/BYC8(BAR8-720x540).png
39,COL8,Atrezzo colegio,Bolsa cartera tela mundial 82,Colegio  ,admin/img_prod/COL8/COL8-720x540.png
40,DES8,Atrezzo despacho,Escribanía con tintero metal flor,Despacho  Escribanías y tinteros  ,admin/img_prod/DES8/DES8-720x540.png
41,CST8,Moda y costura,Cabeza de modista de poliespan,Avíos de costura  ,admin/img_prod/CST8/CST8-720x540.png
42,CEM8,Cementerio,Cruz de cementerio de hierro,Cruces  ,admin/img_prod/CEM8/CEM8-720x540.png
43,CHI8,Chimenea,Par de morillos de hierro con portamacetas,,admin/img_prod/CHI8/CHI8-720x540.png
44,CRI8,Cristalería,Copas cristal verde hoja tallada.,,admin/img_prod/CRI8/CRI8-720x540.png
45,MC8,Macetero,Macetero madera cuadrado pintado mármol,Comedor  Salón  ,admin/img_prod/MC8/MC8-1-720x540.png
46,ME8,Mesilla,Mesilla francesa clara patas estriadas,Dormitorio  Frances  ,admin/img_prod/ME8/ME8-1-720x540.png
47,VET8,Ventilador,Ventilador de mesa gris,,admin/img_prod/VET8/VET8-720x540.png
0,REL8,Reloj,Reloj de pie caoba y oro cabeza redonda,Salón  ,admin/img_prod/REL8/REL8-1-720x540.png
1,TEL8,Telefonía,Teléfono de pared antiguo de madera figurado,,admin/img_prod/TEL8/TLF8-720x540.png
2,MYN8,Maletas y neceseres de viaje,Maleta antigua  cuero marrón claro,Viaje  ,admin/img_prod/MYN8/MYN8-720x540.png
3,MYC8,Maletines y carteras,Maletines ejecutivo skay,,admin/img_prod/MYC8/MYC8-720x540.png
4,LYR8,Libros y revistas,Libros antiguos encuadernación piel,,admin/img_prod/LYR8/LYR8-720x540.png
5,TOC8,Objetos de tocador,Juego de tocador de loza colores (3 piezas),Tocador  ,admin/img_prod/TOC8/TOC8-720x540.png
6,VAJ8,Vajilla,Platos Duralex blancos ondas,Cocina  ,admin/img_prod/VAJ8/VAJ8-720x540.png
7,JUG8,Juguetes,"Escopetas, fusiles y metralletas de juguete",Juguete  ,admin/img_prod/JUG8/JUG8-720x540.png
8,JAR8,Jarrones y jarras,Jarra estaño con tapa asa negra,Adorno  Decoración  Salón  ,admin/img_prod/JAR8/JAR8-720x540.png
9,TYV8,Televisores y vídeos,"Televisión caja madera Werner 21"" (B/N)",Televisor  ,admin/img_prod/TYV8/TYV8-1-720x540.png
10,MYS8,Tocadiscos y altavoces,Altavoces grandes caja madera frontal granate,Altavoces  Electrónica  Musica  Sonido  ,admin/img_prod/MYS8/MYS8-720x540.png
11,TP8,Tapices y estandartes,Tapiz pintado paisaje goyesco,Palacio  ,admin/img_prod/TP8/TP8-720x540.png
12,ML8,Librería,LIBRERÍA DESPACHO CUBISTA 3 CUERPOS,Cubista  Despacho  ,admin/img_prod/ML8/ML8-720x540.png
13,MED8,Atrezzo medicina,Caja antigua de madera para medicinas,Hospital  Medicina  ,admin/img_prod/MED8/MED8-720x540.png
14,HOS8,Hospitales,Camilla niquelada tapizada skay,Camillas  Hospital  Medicina  ,admin/img_prod/HOS8/HOS8-1-720x540.png
15,VAA8,Atrezzo vario,Candados antiguos hierro y metal con sus llaves,,admin/img_prod/VAA8/VAA8-720x540.png
16,GRA8,Gramófonos y gramolas,Gramófono caja octogonal con bocina,Musica  ,admin/img_prod/GRA8/GRA8-720x540.png
17,ARA8,Atrezzo Árabe,Jamuga árabe marquetería y cuero,Arabe  ,admin/img_prod/ARA8/ARA8-1-720x540.png
18,SI8,Sillón,Sillón Luis XVI blanco y oro tapizado damasco azul,Frances  Salón  Sillería  ,admin/img_prod/SI8/SI8-1-720x540.png
19,RAD8,Radios,Radio antigua caja madera rejilla y dial cristal 4 mandos,,admin/img_prod/RAD8/RAD008 Radio nogal 4 mandos dial crsital.jpg
20,JAM8,Jamuga,Jamuga de listones con respaldo tallado,Medieval  ,admin/img_prod/JAM8/JAM8-1-720x540.png
21,MV8,Muebles varios,Mueble bar con puerta skay rojo,Años setenta  Mueble bar  ,admin/img_prod/MV8/MV8-1-720x540.png
22,JAU8,Jaula,Jaula mediana de plástico,,admin/img_prod/JAU8/JAU8-720x540.png
23,JUE8,Juego,Máquina tragaperras forrada nogal,Bar y cafetería  Casino  ,admin/img_prod/JUE8/JUE8-1-720x540.png
24,SIL8,Silla,Silla Luis XVI blanca y oro tapizada azul,Frances  Sillería  ,admin/img_prod/SIL8/SIL8-1-720x540.png
25,MEC8,Mecedora,Mecedora colonial balaustres tapizada,,admin/img_prod/MEC8/MEC8-1-720x540.png
26,MOS8,Mostrador,Expositor de libros tubo gris,Tienda  ,admin/img_prod/MOS8/MOS8 720x540.png
27,S8,Sofá,Sofá Luis XVI blanco y oro tapizado damasco,Frances  Salón  Sillería  ,admin/img_prod/S8/S8-1-720x540.png
28,ILU8,Iluminación,Caja porta pantallas de iluminación,Cine  ,admin/img_prod/ILU8/ILU8-720x540.png
29,PV8,Pie de vela,Candelero de suelo 1 luz con faldón cruces,Candelero  Iglesia  Medieval  ,admin/img_prod/PV8/PV8 (HAY 2) 720x540.png
30,SEC8,Secreter,Secreter jacobino nogal tallado borde rizado,Jacobino  Salón  ,admin/img_prod/SEC8/SEC8 720x540.png
31,VI8,Vitrina,Vitrina inglesa nogal puerta cristal viselado,Comedor  Inglesa  Salón  ,admin/img_prod/VI8/VI8-1-720x540.png
32,PEL8,Peluquería,Sillones de barbero antiguos reclinables hierro tapizados skay azul,,admin/img_prod/PEL8/PEL8-1-720x540.png
33,SR8,Silla de ruedas,Silla de ruedas plegable tapizada terciopelo marrón,Hospital  ,admin/img_prod/SR8/SR8-1-720x540.png
34,PC8,Pizarra,Pizarra blanca Villeda con marco,Colegio  Despacho  ,admin/img_prod/PC8/PC8-720x540.png
35,BUZ8,Buzones,Buzón de correos hierro gris,Calle  ,admin/img_prod/BUZ8/BUZ8-720x540.png
36,ADP8,Animales disecados en panoplia,Panoplia con cuernos de ciervo,,admin/img_prod/ADP8/ADP8-720x540.png
37,CAM8,Cámara fotos y vídeo,Proyector 8mm EUMIC,Proyectores de super ocho  ,admin/img_prod/CAM8/CAM8-720x540.png
38,JUZ8,Juzgado,Barandilla de juzgado balaustres nogal de 1´30 metros,Juzgados  ,admin/img_prod/JUZ8/JUZ8-720x540.png
39,QIN8,Quinqués,Quinqué cristal verde,,admin/img_prod/QIN8/QIN8-720x540.png
40,MOU8,Mobiliario urbano,Papelera de calle redonda con pie,Calle  ,admin/img_prod/MOU8/MOU8-1-720x540.png
41,LOG8,Logicine,Jarrón grande panzudo dorado,Jarrón  ,admin/img_prod/LOG8/JAR161-1-logicine-720x540.png
42,CDM8,Centro de mesa,Centro de mesa cobre y metal,Adorno  ,admin/img_prod/CDM8/CDM8-720x540.png
43,PAP8,Papelera,Papelera de acero redonda,,admin/img_prod/PAP8/PAP8-720x540.png
44,FIG8,Figuras,Figura de chapa negra gallina,Adorno  ,admin/img_prod/FIG8/FIG8-720x540.png
45,PLA8,Playa,Hamaca de madera Mid Century tela rayas,Hamaca  Jardín  ,admin/img_prod/PLA8/PLA8-1-720x540.png
46,REG8,Religión,Crucifijo de pared Cristo plateado,Cruces  Religioso  ,admin/img_prod/REG8/REG8-720x540.png
47,RU8,Rural,Polipasto de 2 poleas de 28cm,Rústico  ,admin/img_prod/RU8/RU8-720x540.png
0,ALA9,Alacena,Alacena de colgar con puertas celosía,Cocina  ,admin/img_prod/ALA9/ALA9-720x540.png
1,ALF9,Alfombra,Alfombra francesa redonda dibujos azules,Comedor  Frances  Salón  ,admin/img_prod/ALF9/ALF9-720x540.png
2,AFC9,Alfombra de cama,Alfombrín de cama pelo lana rojo flores,Comedor  ,admin/img_prod/AFC9/AFC9-720x540.png
3,AP9,Aparador,Trinchero 1900 claro con estante y copete,Comedor  Estilo mil novecientos  ,admin/img_prod/AP9/AP9-1-720x540.png
4,ARC9,Arcon,Arcón tapa piramidal tapizado damasco y oro,Palacio  ,admin/img_prod/ARC9/ARC009-1-720x540.png
5,AR9,Armario,"Armario roble 2 puertas,una con espejo y cajones",Dormitorio  ,admin/img_prod/AR9/AR9-720x540.png
6,ARM9,Armero,Porta-lanzas gótico recortado,Gótico  ,admin/img_prod/ARM9/ARM9-1-720x540.png
7,ATD9,Ataud,Ataúd de niño ambientado,,admin/img_prod/ATD9/ATD9-1-720x540.png
8,ATR9,Atril,Atril-facistol nogal cerrado,Religioso  ,admin/img_prod/ATR9/ATR9-1-720x540.png
9,BAC9,Banco,Banco tapizado patas torneadas,,admin/img_prod/BAC9/BAC9-2-720x540.png
10,BAN9,Banqueta,Banqueta tapas rectas asiento tapizado,,admin/img_prod/BAN9/BAN9-1-720x540.png
11,M9,Mesa,Mesa de jardín forja blanca tapa fibra,Forja  Jardín  ,admin/img_prod/M9/M9-1-720x540.png
12,BA9,Baño,Bañera de empotrar blanca,Bañera  ,admin/img_prod/BA9/BA9-720x540.png
13,BAR9,Bargueño,Bargueño nogal tapa marquetería con mesa,Español  ,admin/img_prod/BAR9/BAR9-1-720x540.png
14,BRL9,Barril,Bidón de chapa pintado gris,Bidón  ,admin/img_prod/BRL9/BRL9-720x540.png
15,BAS9,Bascula,Balanza de mesa nogal con 2 platillos metal,Tienda  ,admin/img_prod/BAS9/BAS9-720x540.png
16,BAU9,Baul,Baúl madera y chapa con patas,Almacenaje  Viaje  ,admin/img_prod/BAU9/BAU9-1-720x540.png
17,BEB9,Bebé,,Descatalogado  ,admin/img_prod/BEB9/LOGOTIPO VAZQUEZ- 720x540.png
18,PER9,Perchero,Perchero de pared italiano formica con cuadro y espejo,Italiano  Recibidor  ,admin/img_prod/PER9/PER9-720x540.png
19,ESC9,Escaleras,Escalera rústica de 1 subida de madera,,admin/img_prod/ESC9/ESC9-720x540.png
20,BIO9,Biombo,Biombo 3 hojas de forja pintado dorado,Dormitorio  Forja  Jardín  ,admin/img_prod/BIO9/BIO9-720x540.png
21,BRA9,Brasero,Brasero bajo pletina hierro con patas,Calefaccion  ,admin/img_prod/BRA9/BRA9-1-720x540.png
22,CAB9,Caballete,Caballete de pintor negro 3 pies,Pintor  ,admin/img_prod/CAB9/CAB9-720x540.png
23,CAR9,Caja registradora,Caja registradora NCR sin cajón,Tienda  ,admin/img_prod/CAR9/CAR9-720x540.png
24,CAJ9,Caja,Cajón de embalaje de madera asas cuerda,Almacenaje  Cajas  ,admin/img_prod/CAJ9/CAJ9-720x520.png
25,CA9,Cama,Cabecero tapizado capitoné crema con mesillas,Años setenta  Cabecero  Dormitorio  ,admin/img_prod/CA9/CA9-720x540.png
26,REC9,Reclinatorio,Reclinatorio madera y enea con cojín terciopelo verde,Enea  Iglesia  Religioso  ,admin/img_prod/REC9/REC9-1-720x540.png
27,CARR9,Carretilla,Carro de torero con cuernos,Profesiones  ,admin/img_prod/CARR9/CARR009 copia.jpg
28,CSE9,Carro de servicio,Carro de servicio metal y formica con asas y ruedas grandes,Cocina  Comedor  Salón  ,admin/img_prod/CSE9/CSE9-1-720x540.png
29,CH9,Chaiselongue,Descatalogado,Descatalogado  ,admin/img_prod/CH9/LOGOTIPO VAZQUEZ- 720x540.png
30,CO9,Cocinas,Cocina de gas de mesa 3 fuegos con horno,Electrodomestico  Cocina  ,admin/img_prod/CO9/CO9-720x540.png
31,COM9,Comoda,Cómoda nogal 4 cajones con marquetería en un cajón y tapa mármol,Dormitorio  ,admin/img_prod/COM9/COM9-1-720x540.png
32,CON9,Consola,Consola inglesa medio punto nogal,Inglesa  Recibidor  ,admin/img_prod/CON9/CON9-1-720x540.png
33,COS9,,Costurero isabelino en claro con espejo interior,Costurero  ,admin/img_prod/COS9/COS09.bmp
34,CU9,Cuadro,Cuadro marco liso marrón fotografía Sísifo (Autor Tiziano),Retratos  ,admin/img_prod/CU9/CU9-720x540.png
35,ANU9,Carteles y anuncios,Cartel antiguo chapa anuncio americano,Tienda  ,admin/img_prod/ANU9/ANU9-720x540.png
36,ESP9,Espejo,Espejo marco terciopelo rojo aplicaciones metal,Dormitorio  Salón  ,admin/img_prod/ESP9/ESP9-720x540.png
37,ES9,Estanteria,Estanteria rustica acuñada,Rústico  ,admin/img_prod/ES9/ES9-1-720x540.png
38,EST9,Estufa,Estufa chubesqui hierro 3 patas,Calefaccion  ,admin/img_prod/EST9/EST9-720x540.png
39,ESTAT9,Estatua,Estatua Ángel de piedra (peana 26x26),Religioso  ,admin/img_prod/ESTAT9/ESTAT9-1-720x540.png
40,GN9,Galan de noche,Galán de noche pie tubo niquelado y madera,Dormitorio  ,admin/img_prod/GN9/GN9-1-720x540.png
41,AGU9,Aguamaniles,Aguamanil loza blanca liso pequeño,Dormitorio  ,admin/img_prod/AGU9/AGU9-720x450.png
42,F9,Fichero,Fichero madera claro de persiana,Americano  Despacho  ,admin/img_prod/F9/F9-1-720x540.png
43,MUS9,Instrumentos musicales,Piano de pared auténtico nogal con columnas,Piano  Musica  ,admin/img_prod/MUS9/MUS9-720x540.png
44,ADO9,Adornos,Adorno pared loza mariposa colores,Salón  ,admin/img_prod/ADO9/ADO9-720x540.png
45,DPT9,Deporte,Cama elástica redonda,Gimnasio  ,admin/img_prod/DPT9/DPT9-1-720x540.png
46,LAM9,Lámpara,Lámpara de mesa cobre peana redonda,Lámpara de mesa  Salón  ,admin/img_prod/LAM9/LAM9-720x540.png
47,FUM9,Artículos de fumador,Cenicero cuero repujado,Cenicero  ,admin/img_prod/FUM9/FUM9-720x540.png
0,ASP9,Aspiradoras,Aspiradora azul oscuro recta,Electrodomestico  ,admin/img_prod/ASP9/ASP9-720x540.png
1,AZP9,Azulejos y platos de pared,Platos de colgar de pared diferentes,Decoración  ,admin/img_prod/AZP9/AZP9-720x540.png
2,BAD9,Bandejas,Bandeja grande antigua borde metal calado con asas,,admin/img_prod/BAD9/BAD9-720x540.png
3,BYC9,Atrezzo de bar y cafetería,Botellas cristal caramelo,Bar y cafetería  ,admin/img_prod/BYC9/BYC9(BAR9-720x540).png
4,COL9,Atrezzo colegio,Cartera colegio amarilla,Colegio  ,admin/img_prod/COL9/COL9-720x540.png
5,DES9,Atrezzo despacho,Escribanía metal gótica 4 piezas,Despacho  Escribanías y tinteros  ,admin/img_prod/DES9/DES9-720x540.png
6,CST9,Moda y costura,Costurero de madera plegable de mano,Costurero  ,admin/img_prod/CST9/CST9-720x540.png
7,CEM9,Cementerio,Cruz de cementerio figurada mármol,Cruces  ,admin/img_prod/CEM9/CEM9-1-720x540.png
8,CHI9,Chimenea,Par de morillos de hierro forja,,admin/img_prod/CHI9/CHI9-720x540.png
9,CRI9,Cristalería,Copas cristal de champan altas,,admin/img_prod/CRI9/CRI9-720x540.png
10,MC9,Macetero,Columna escayola cuadrada pintada,Columna  Jardín  ,admin/img_prod/MC9/MC9-1-720x540.png
11,ME9,Mesilla,Mesilla blanca y oro 2 cajones,Dormitorio  ,admin/img_prod/ME9/ME9-1-720x540.png
12,VET9,Ventilador,Ventilador de mesa aspas marrones,,admin/img_prod/VET9/VET9-720x540.png
13,REL9,Reloj,Reloj de pared madera 2 columnas esfera dorada cristal dibujo oro,Salón  ,admin/img_prod/REL9/REL9-720x540.png
14,TEL9,Telefonía,Teléfono de pared madera antiguo figurado,,admin/img_prod/TEL9/TLF9-720x540.png
15,MYN9,Maletas y neceseres de viaje,Maleta antigua cuero claro bordes cuero y cierres metal,Viaje  ,admin/img_prod/MYN9/MYN9-720x540.png
16,MYC9,Maletines y carteras,Carteras de cuero,,admin/img_prod/MYC9/MYC9-720x540.png
17,LYR9,Libros y revistas,Libros antiguos encuadernación rústica,,admin/img_prod/LYR9/LYR9-720x540.png
18,TOC9,Objetos de tocador,Juego de tocador de plástico (5 piezas),Tocador  ,admin/img_prod/TOC9/TOC9-720x540.png
19,VAJ9,Vajilla,Platos loza borde greca,Cocina  ,admin/img_prod/VAJ9/VAJ9-720x540.png
20,JUG9,Juguetes,Juego antiguo Exin Astro con su caja,Juguete  ,admin/img_prod/JUG9/JUG9-720x540.png
21,JAR9,Jarrones y jarras,Jarra baja barro vidriado forma azul y verde,Adorno  Decoración  Salón  ,admin/img_prod/JAR9/JAR9-720x540.png
22,CF9,Caja fuerte,Caja fuerte crema con rueda,,admin/img_prod/CF9/CF9-1-720x540.png
23,TYV9,Televisores y vídeos,"Televisión LCD plano Saivod 26""",Televisor  ,admin/img_prod/TYV9/TYV9 720x540.png
